"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
19,239,"UGA","Uganda",6,"Bushenyi",18,"Igara","",NA,"4023","County","County","",""
20,239,"UGA","Uganda",6,"Bushenyi",19,"Ruhinda","",NA,"4024","County","County","",""
21,239,"UGA","Uganda",6,"Bushenyi",20,"Sheema","",NA,"4025","County","County","",""
22,239,"UGA","Uganda",7,"Busia",21,"Samia-Bugwe","UG.BU.BG",NA,"2021","County","County","",""
23,239,"UGA","Uganda",8,"Gulu",22,"Aswa","UG.GL.AW",NA,"3041","County","County","",""
24,239,"UGA","Uganda",8,"Gulu",23,"Gulu","UG.GL.GL",NA,"3042","County","County","","Gulu Municipality"
25,239,"UGA","Uganda",8,"Gulu",24,"Kilak","UG.KQ.KL",NA,"3043","County","County","",""
26,239,"UGA","Uganda",8,"Gulu",25,"Nwoya","UG.KQ.NO",NA,"3044","County","County","",""
27,239,"UGA","Uganda",8,"Gulu",26,"Omoro","UG.GL.OO",NA,"3045","County","County","",""
28,239,"UGA","Uganda",9,"Hoima",27,"Bugahya","",NA,"4031","County","County","",""
29,239,"UGA","Uganda",9,"Hoima",28,"Buhaguzi","",NA,"4032","County","County","",""
30,239,"UGA","Uganda",10,"Iganga",29,"Bugweri","UG.IN.BG",NA,"2031","County","County","",""
31,239,"UGA","Uganda",10,"Iganga",30,"Busiki","UG.BK.BS",NA,"2032","County","County","",""
32,239,"UGA","Uganda",10,"Iganga",31,"Kigulu","UG.IN.KG",NA,"2033","County","County","",""
33,239,"UGA","Uganda",10,"Iganga",32,"Luuka","UG.IN.LU",NA,"2034","County","County","",""
34,239,"UGA","Uganda",11,"Jinja",33,"Butembe","UG.JI.BT",NA,"2041","County","County","",""
35,239,"UGA","Uganda",11,"Jinja",34,"Jinja","UG.JI.JN",NA,"2042","County","County","","Jinja Municipality"
36,239,"UGA","Uganda",11,"Jinja",35,"Kagoma","UG.JI.KG",NA,"2043","County","County","",""
37,239,"UGA","Uganda",12,"Kabale",36,"Kabale","",NA,"4041","Municipality","Municipality","",""
38,239,"UGA","Uganda",12,"Kabale",37,"Ndorwa","",NA,"4042","County","County","",""
39,239,"UGA","Uganda",12,"Kabale",38,"Rubanda","",NA,"4043","County","County","",""
40,239,"UGA","Uganda",12,"Kabale",39,"Rukiga","",NA,"4044","County","County","",""
41,239,"UGA","Uganda",13,"Kabarole",40,"Bunyangabu","",NA,"4051","County","County","",""
42,239,"UGA","Uganda",13,"Kabarole",41,"Burahya","",NA,"4052","County","County","",""
43,239,"UGA","Uganda",13,"Kabarole",41,"Burahya","",NA,"81","County","County","",""
44,239,"UGA","Uganda",13,"Kabarole",41,"Burahya","",NA,"82","County","County","",""
45,239,"UGA","Uganda",13,"Kabarole",42,"Fort Portal","",NA,"4053","County","County","",""
46,239,"UGA","Uganda",14,"Kaberamaido",43,"Kaberamaido","UG.KD.KB",NA,"2131","County","County","",""
47,239,"UGA","Uganda",14,"Kaberamaido",44,"Kalaki","UG.KD.KL",NA,"2132","County","County","",""
48,239,"UGA","Uganda",15,"Kalangala",45,"Bujumba","UG.KN.BJ",NA,"1011","County","County","",""
49,239,"UGA","Uganda",15,"Kalangala",46,"Kyamuswa","UG.KN.KA",NA,"1012","County","County","",""
50,239,"UGA","Uganda",16,"Kampala",47,"Kampala","UG.KM.KM",NA,"1021","City council","City council","",""
51,239,"UGA","Uganda",17,"Kamuli",48,"Budiope","UG.KX.BD",NA,"2051","County","County","",""
52,239,"UGA","Uganda",17,"Kamuli",49,"Bugabula","UG.KX.BG",NA,"2052","County","County","",""
53,239,"UGA","Uganda",17,"Kamuli",50,"Bulamogi","UG.RO.BL",NA,"2053","County","County","",""
54,239,"UGA","Uganda",17,"Kamuli",51,"Buzaaya","UG.KX.BZ",NA,"2054","County","County","",""
55,239,"UGA","Uganda",18,"Kamwenge",52,"Kibale","",NA,"4131","County","County","",""
56,239,"UGA","Uganda",18,"Kamwenge",53,"Kitagwenda","",NA,"4132","County","County","",""
57,239,"UGA","Uganda",19,"Kanungu",54,"Kinkiizi","",NA,"138","County","County","",""
58,239,"UGA","Uganda",19,"Kanungu",54,"Kinkiizi","",NA,"4141","County","County","",""
59,239,"UGA","Uganda",20,"Kapchorwa",55,"Kongasis","UG.BW.KO",NA,"2061","County","County","",""
60,239,"UGA","Uganda",20,"Kapchorwa",56,"Kween","UG.KP.KW",NA,"2062","County","County","",""
61,239,"UGA","Uganda",20,"Kapchorwa",57,"Tingey","UG.KP.TI",NA,"2063","County","County","",""
62,239,"UGA","Uganda",21,"Kasese",58,"Bukonjo","",NA,"4061","County","County","",""
63,239,"UGA","Uganda",21,"Kasese",59,"Busongora","",NA,"4062","County","County","",""
64,239,"UGA","Uganda",22,"Katakwi",60,"Amuria","UG.AM.AU",NA,"2071","County","County","",""
65,239,"UGA","Uganda",22,"Katakwi",61,"Kapelebyong","UG.AM.KP",NA,"2072","County","County","",""
66,239,"UGA","Uganda",22,"Katakwi",62,"Usuk","UG.KK.UU",NA,"2073","County","County","",""
67,239,"UGA","Uganda",23,"Kayunga",63,"Bbaale","UG.KY.BA",NA,"1121","County","County","",""
68,239,"UGA","Uganda",23,"Kayunga",64,"Ntenjeru","UG.KY.NE",NA,"1122","County","County","",""
69,239,"UGA","Uganda",24,"Kibale",65,"Bugangaizi","",NA,"4071","County","County","",""
70,239,"UGA","Uganda",24,"Kibale",66,"Buyaga","",NA,"4072","County","County","",""
71,239,"UGA","Uganda",24,"Kibale",66,"Buyaga","",NA,"4073","County","County","",""
72,239,"UGA","Uganda",25,"Kiboga",67,"Kiboga","UG.KG.KB",NA,"1031","County","County","",""
73,239,"UGA","Uganda",26,"Kisoro",68,"Kisoro","",NA,"4081","County","County","",""
74,239,"UGA","Uganda",27,"Kitgum",69,"Chua","UG.TG.CU",NA,"3051","County","County","",""
75,239,"UGA","Uganda",27,"Kitgum",70,"Lamwo","UG.TG.LM",NA,"3052","County","County","",""
76,239,"UGA","Uganda",28,"Kotido",71,"Dodoth","UG.AB.DD",NA,"3061","County","County","",""
